id,iban,dateOpened,customerId,balance
1,FI6456169273303721,2021-09-20,168,31846
2,BA826813248648828174,2021-09-22,286,56773
3,SA1921571811712981694665,2021-07-27,60,893
4,DO74196166513019817476667105,2022-10-20,126,42786
5,SK4702650226371030417711,2022-09-21,383,81501
6,GL6660442428261176,2021-10-20,251,71291
7,HU53144127118492827771039885,2021-05-02,417,57640
8,MD4285754594558662662664,2022-02-09,182,58668
9,LT818742501714888850,2022-08-15,17,52332
10,CZ8246796047862687657986,2022-08-04,456,44144
11,BA892522071315259685,2021-09-29,26,99341
12,CY44814490892105222322436219,2022-09-03,159,39777
13,HR3476392577237749123,2022-05-31,303,38730
14,BA304944185605748741,2022-07-20,260,47592
15,SM0857314895835170834642069,2021-03-19,105,33417
16,FO3536752316092749,2022-11-08,37,64139
17,CR9628175473452220432,2021-04-08,188,64089
18,GR5847141289822288836712577,2021-03-23,90,47716
19,FO9874269394836187,2022-02-15,242,32145
20,KZ651714222882678943,2022-06-28,302,80157
21,GR5534014481375274218765557,2021-02-03,243,40327
22,FO1414150157811762,2021-05-20,303,66549
23,ME48808767250468491658,2022-01-14,27,38739
24,IS458663437836127806751860,2021-11-18,270,31062
25,PL31121572406367385127998588,2021-01-31,349,71755
26,BH32027966844880502573,2021-09-18,21,76930
27,GL5051943710832846,2021-07-20,146,37213
28,NL80CSOB6892831479,2022-02-23,256,40786
29,CH5052471593880325405,2021-02-14,225,41962
30,FR1771303432626727483702692,2022-08-07,17,49271
31,KW9845465924963926127755315538,2021-06-13,152,85791
32,FR7867985638635722167807989,2021-12-06,93,77014
33,TR715221471943855071376758,2021-09-18,346,68020
34,CZ0628658445514278156526,2021-01-02,122,25105
35,ME24988028844166676417,2021-12-06,70,84453
36,IS455553421435888654659826,2022-02-22,76,52340
37,HR2356377755856351846,2022-02-18,202,96211
38,FI3596072165345123,2022-01-04,383,26411
39,PT89224777651957468138177,2022-02-14,281,91392
40,IT515PHIWI24030237692587433,2022-06-29,126,23851
41,HR0515663565184373146,2022-04-19,410,81663
42,MU3888342844734266362593602551,2021-04-12,117,62871
43,IS046646112283193344253333,2022-02-24,153,15312
44,NL12MIHU7833623683,2022-06-28,456,11340
45,FR1131191742272121930161486,2021-02-18,385,83966
46,KW2433441668343846715458732536,2022-11-01,258,96776
47,BA475152938718132426,2022-06-09,115,14636
48,MC0869164588586271320853854,2021-03-18,455,71355
49,EE375856473137677803,2022-04-29,5,11634
50,GR2458871622555826283368928,2022-09-25,448,88940
51,GI50ICBK651683025372682,2021-05-25,384,57509
52,CZ7268048674409216684406,2021-05-30,60,76701
53,RO21NAXB1389664586758854,2022-05-29,449,38260
54,PL70427726550786867781037008,2021-04-01,364,80782
55,KZ505234811816975692,2022-08-23,215,53273
56,CH7518331379670743743,2021-01-27,114,38793
57,SI48238997874965351,2022-08-05,293,97256
58,CY35316630327428932476802485,2021-01-26,132,23796
59,LV36NTYN2798155824361,2021-08-15,32,22220
60,CZ9782211953625168516473,2021-12-16,60,79883
61,GE50920612094229313546,2021-02-06,429,1300
62,LB38527511038698592392631757,2022-01-08,286,34484
63,RS50084651648655541477,2022-03-28,309,63216
64,BG58HTAD30875676310392,2022-07-26,348,95357
65,IT092QJXMI62377552017284244,2021-05-16,174,89552
66,GI38TZYT187846360566781,2021-02-01,295,68978
67,IS694486704460515075067377,2021-03-21,409,36582
68,GL7166869680583911,2022-05-01,50,36014
69,CY13316545364742405862819977,2021-07-19,157,57582
70,RS18383424429746195931,2022-08-16,219,41010
71,MC7062336581282176571755374,2022-10-08,215,5979
72,GT24833265911318486355275484,2022-06-06,59,67307
73,DE54565457456326930075,2021-01-18,401,84605
74,CY95116666321763612141626285,2021-12-20,497,84142
75,GT82766703877882533562957738,2022-02-08,308,18280
76,AT343846837594967947,2021-06-05,330,65968
77,GE28160454071734724787,2021-01-31,187,28208
78,PS065242470371235035455466786,2021-04-05,34,8512
79,AD0988354588369449382296,2022-01-30,333,51207
80,AD9096031266972754723464,2021-04-19,346,20293
81,MC4023082675952142748127668,2022-04-24,412,45890
82,MD5481635201657651530607,2022-07-20,23,92482
83,SK0992639686656795401573,2021-03-03,263,33143
84,CZ8849638513617196835862,2021-01-11,46,27883
85,TN4823024946185565377530,2020-12-08,453,41338
86,TR275737681236671088565277,2022-11-15,16,91821
87,SE4176695605463159820956,2021-08-27,12,70087
88,PL10770127156711166206901821,2021-02-14,96,77763
89,FR5287518215280970070897335,2021-05-29,292,48899
90,BE33668666894764,2022-07-26,492,32818
91,ES5303641792527245494030,2022-01-24,262,29996
92,GE27334887597752438626,2022-03-07,30,69197
